# This table summarizes useful information about galaxies in the Parent Disc Sample of
# Erwin (2017, in prep). Most of the data is taken from xxx
#
# Except for the following columns, values are from Herrera-Endoqui et al. (2015: A&A, 582, A86)
#    dist, logmstar -- distance in Mpc and log of galaxy stellar mass (in solar masses), from 
#       Munoz-Mateos et al. (2015: ApJS, 219, 3)
#    bar_strength -- Buta et al. (2015)
#    A2, A4 -- Diaz-Garcia et al. (2016)
#    Re, Re_kpc, h_kpc -- Salo et al. (2015)
#    R25, etc.; t_s4g -- main S4G table
#    B_tc, BmV_tc, m21c, W_gas, t_leda -- HyperLeda (as of 29 March 2017)
#    gmr_tc -- total g-r color, based on BmV_tc as described in paper
#    weight_BmVtc -- B_t-based weights for galaxy colors (see paper)
#    w25, w30, w40 -- V/V_max weights assuming D_max = 25, 30, or 40 Mpc
#    M_HI, logfgas -- based on dist + m21c, as described in paper
#    inclination -- Munoz-Mateos et al. (2015)
#    sma_dp_kpc2 -- deprojected bar semi-major axis (in kpc) using bar size and
#       PA from Herrera-Endoqui et al. and galaxy inclination and PA from Munoz-Mateos et al.
#
# name logmstar dist B_tc BmV_tc weight_BmVtc gmr_tc m21c M_HI logfgas w25 w30 w40 sma sma_kpc sma_ell_kpc sma_dp_kpc sma_dp_kpc2 sma_ell_dp_kpc2 bar_strength A2 A4 inclination R25 R25_5 R25_kpc R25_5_kpc R25c_kpc Re Re_kpc h_kpc W_gas t_s4g t_leda
ESO347-008 6.02499847267 1.0 14.055 -99.0 3.2236737824 -111.06 15.022 2105597.15976 0.298376813442 7777.1419528 13438.9012944 31855.1734387 12.5 0.0606016532131 -3.63246309359 -4.84328412479 0.0622339906543 0.0 2 -999.999 -999.999 29.9735291485 37.8548260377 19.05 0.183525203198 0.0923569194968 0.181842634022 74.34 0.360410151989 0.10909752018 24.05 9.0 9.0 
ESO347-017 8.17800082264 8.2 13.963 -99.0 3.49794880744 -111.06 14.187 305494215.18 0.307002168243 7.47099539754 12.909880047 30.6011971483 0.0 0.0 0.0 0.0 0.0 0.0 3 -999.999 -999.999 64.2723496919 46.7865750848 29.6 1.8599855317 1.17673866143 1.81346661971 31.37 1.24710445301 0.701391898771 30.04 9.0 9.0 
ESO355-026 9.77299974702 31.537 13.377 -99.0 2.70520491807 -111.06 15.344 1556739848.34 -0.580783704698 1.0 1.0 1.05856819092 0.0 0.0 0.0 0.0 0.0 0.0 3 -999.999 -999.999 58.6929488031 37.3354383531 29.1 5.70842226913 4.44926041742 5.7745226837 23.3 3.56246624488 2.32034282113 94.64 4.2 4.2 
ESO357-012 9.29100011383 22.591 13.648 -99.0 3.38208957782 -111.06 14.289 2110795682.86 0.0334460834313 1.0 1.0 1.05772704088 27.0 2.95715220711 3.17893862265 3.38429641481 3.34404210214 3.5948452598 2 -999.999 -999.999 53.0503085116 52.1340248625 41.2 5.70993506251 4.51239521974 5.78936817169 63.32 6.93506954646 4.28808974862 57.37 7.0 7.0 
ESO358-005 8.80200020879 22.597 14.332 -99.0 2.90673042903 -111.06 15.793 528538779.302 -0.0789233514574 1.0 1.0 1.70226675353 0.0 0.0 0.0 0.0 0.0 0.0 3 -999.999 -999.999 43.6166646505 44.4755425544 24.45 4.87243999273 2.67857683078 4.86123369172 24.72 2.70815620682 1.91170411849 38.59 9.0 9.0 
ESO358-015 8.49600058155 16.1 15.225 -99.0 8.75674198566 -111.06 16.921 94935149.3992 -0.518573543371 3.08561969517 5.33195083325 12.6386982714 0.0 0.0 0.0 0.0 0.0 0.0 3 -999.999 -999.999 41.5539487103 31.9978836369 19.4 2.49759254626 1.51426562917 2.51490503072 16.4 1.28010084115 0.915974595787 18.0 8.9 8.7 
ESO358-020 9.12100142447 24.361 13.941 -99.0 3.5613099352 -111.06 18.794 38722689.133 -1.53303591481 1.0 1.0 1.706454208 16.5 1.94873827358 1.40840629772 1.94873827358 1.94979789514 1.40917211512 2 0.223 -999.999 57.5856182923 41.2212592504 25.5 4.86845124766 3.01168642281 4.80165359236 18.08 2.13534472644 1.81669649238 40.99 9.3 9.3 
ESO358-025 9.37000019873 18.614 13.746 -99.0 3.6555438751 -111.06 16.703 155115324.337 -1.17934549346 1.0 1.0 1.87784976982 0.0 0.0 0.0 0.0 0.0 0.0 3 -999.999 -999.999 53.1275534213 52.2542062017 30.55 4.71558332359 2.75692773859 4.67235059581 14.71 1.32747649868 1.57961581461 31.67 -2.6 -2.6 
ESO358-051 8.9989995404 15.7 13.854 -99.0 3.74297832551 -111.06 16.235 169814429.701 -0.769024949471 1.32776454864 2.29437714005 5.43852359124 0.0 0.0 0.0 0.0 0.0 0.0 3 -999.999 -999.999 61.8255208312 43.4631556063 26.65 3.308227489 2.02848277701 3.20328342108 16.54 1.25895328825 0.756057014035 57.58 0.0 0.3 
ESO358-054 8.94600004897 16.9 13.704 -99.0 3.53818922962 -111.06 15.637 341309750.507 -0.412851353631 1.0 1.24080532987 2.94116818932 19.6 1.60589532882 1.45022180205 1.990982474 1.9057225565 1.72098414541 2 -999.999 -999.999 52.0401418355 49.5588539469 26.25 4.06052714567 2.15075267253 4.05118819239 39.28 3.21834533246 1.69446537222 36.39 8.0 7.9 
ESO359-022 7.80399964474 19.847 14.927 -99.0 4.25414605635 -111.06 15.561 504853097.856 0.899165380761 1.6585761535 2.86601959324 6.79352792472 0.0 0.0 0.0 0.0 0.0 0.0 3 -999.999 -999.999 61.9700196517 31.9242905467 10.9 3.07178335869 1.04880760187 2.94029281924 12.29 1.18255462633 0.726948755242 36.36 8.6 8.6 
ESO359-031 8.68799956341 20.625 14.496 -99.0 2.96297033308 -111.06 16.142 319273740.67 -0.183836362853 1.4277039279 2.4670723874 5.84787528866 13.3 1.32990327976 1.14741655152 1.44989455312 1.44377345093 1.2456616804 2 0.185 0.097 25.0341119809 32.2939564089 18.6 3.22916079283 1.85986473711 3.25154426612 17.83 1.7828703367 1.13621736601 15.95 8.0 8.0 
ESO362-009 8.90200017455 10.2 12.95 -99.0 1.9913228715 -111.06 13.088 1300695475.79 0.212175455086 1.0 1.0 1.9878309982 0.0 0.0 0.0 0.0 0.0 0.0 3 -999.999 -999.999 41.8273899561 93.5666875228 48.4 4.62696149484 2.39342593266 4.70214357109 69.05 3.41458802996 2.24833684823 31.82 9.1 9.1 
