# Bar presence as function of log(M_star/M_sun) and log(f_gas) for D < 25 Mpc, with V_max weights
logmstar   logfgas  weight   bar
9.854   -0.133   1.000    1
10.082   -0.779   1.000    1
10.451   -0.699   1.000    1
9.620   -0.211   1.000    1
9.217   -0.029   2.165    1
10.601   -1.540   1.000    0
10.117   -0.731   1.000    1
9.573   -1.229   1.000    1
10.526   -1.167   1.000    0
10.172   -0.734   1.000    1
9.802   -0.909   1.000    1
10.373   -1.012   1.000    1
10.014   -0.331   1.000    1
9.973   -1.080   1.000    1
10.212   -1.909   1.000    1
10.445   -0.624   1.000    1
10.523   -1.204   1.000    1
10.649   -1.164   1.000    1
10.238   -1.032   1.000    0
10.052   -0.923   1.000    0
9.554   -0.575   1.000    0
10.830   -2.564   1.000    0
9.801   -0.542   1.000    1
10.343   -1.341   1.000    0
9.674   -0.739   1.000    1
9.681   -0.843   1.000    0
9.604   0.234   1.000    1
10.766   -1.579   1.000    0
9.060   0.023   1.000    1
9.705   -0.458   1.000    1
8.695   0.172   1.000    1
9.130   0.044   1.000    1
9.742   -0.313   1.000    1
8.715   -0.299   1.000    0
8.705   0.239   1.029    1
9.108   0.041   1.000    0
9.582   -99.000   1.000    0
9.031   -0.369   1.627    1
9.160   -0.157   1.000    1
9.327   0.088   1.000    1
8.948   -0.281   1.000    1
9.578   -1.078   1.000    1
9.079   -0.140   1.000    0
9.457   -0.202   1.000    1
8.875   0.316   1.356    1
9.230   -1.409   1.000    0
8.741   -0.560   3.064    1
9.812   -0.269   1.000    1
9.637   0.020   1.000    1
8.637   0.557   1.000    0
9.995   -0.874   1.000    0
9.199   -0.437   1.000    0
9.646   -1.302   1.000    0
9.846   -0.605   1.000    1
9.504   -0.392   1.000    0
9.251   -0.392   1.000    1
9.650   -0.467   1.000    0
9.003   -0.046   1.000    0
8.829   -0.049   3.628    0
8.818   0.108   1.000    0
8.684   -0.187   4.412    0
8.677   0.225   1.000    1
9.395   -0.955   1.000    0
9.485   -0.643   1.000    0
8.609   -0.544   1.000    0
8.502   0.745   1.000    0
8.811   0.294   1.000    1
9.371   -0.214   1.000    1
8.758   0.152   1.107    1
9.559   -0.751   1.368    0
